Run!	Chạy!
I'm not free.	Tao không rảnh.
I'm not free.	Tớ không rảnh.
I'm retiring.	Tôi sắp nghỉ hưu.
Is Monday OK?	Thứ hai OK không?
Is Monday OK?	Thứ Hai được không?
Is Tom there?	Tom có ở đó không?
It was pizza.	Nó đã từng là một cái pizza.
It's raining.	Trời đang mưa.
It's so easy.	Quá dễ.
It's so hard.	Việc này thật là khó.
It's the law.	Đó là luật.
Keep looking.	Cứ tiếp tục nhìn đi.
Keep looking.	Cứ tiếp tục xem đi.
Let Tom stay.	Để Tom ở lại.
Let Tom wait.	Hãy để Tom đợi.
Let me dream.	Hãy để tôi mơ mộng.
Let me dream.	Để tôi mơ đi.
Let's try it.	Thử nó xem sao.
Let's try it.	Thử nó đi.
My eyes hurt.	Mắt tớ đau.
My eyes hurt.	Mắt tôi bị đau.
Now let's go.	Giờ chúng ta đi thôi nào.
She liked it.	Cô ấy thích nó.
She loves me.	Cô ấy yêu tôi.
Stay at home.	Ở nhà.
Stop filming.	Dừng ghi hình.
That is mine.	Cái đó là của tôi.
That's my CD.	Đó là đĩa CD của tôi.
Tom helps us.	Tom giúp đỡ chúng tôi.
Tom loves it.	Tom thích nó lắm.
Tom was poor.	Tom từng là một người nghèo.
Trust no one.	Đừng tin một ai.
Trust no one.	Đừng tin ai hết.
Trust no one.	Đừng tin bất cứ ai.
Unbelievable!	Thật khó tin!
Unbelievable!	Thật là khó tin!
Unbelievable!	Thật không thể tin được!
We need both.	Chúng ta cần cả hai.
Who built it?	Ai xây cái kia vậy?
Who built it?	Ai đã xây cái kia vậy?
Who built it?	Ai là người đã xây cái kia vậy ạ?
Won't you go?	Sao cậu chưa đi đi?
You're bossy.	Bạn thật hống hách.
You're fussy.	Bạn khó chiều quá.
Ask any woman.	Hãy hỏi bất kỳ người phụ nữ nào.
Birds can fly.	Chim có thể bay.
Birds can fly.	Chim biết bay.
Get over here.	Lại đây nào.
Get over here.	Lại đây.
Get over here.	Lại đây đi.
He dug a hole.	Anh ấy đã đào một cái hố.
He dug a hole.	Ông ấy đã đào một cái hố.
How beautiful!	Thật đẹp làm sao!
I can't go on.	Tôi không thể tiếp tục.
I could do it.	Tôi đã có thể làm điều này.
I could do it.	Tôi đã có thể làm được.
I feel lonely.	Tôi cảm thấy cô đơn.
I hate moving.	Tớ ghét di chuyển.
I have a book.	Tôi có một cuốn sách.
I know Boston.	Tôi biết Boston.
I know Boston.	Tôi có biết Boston.
I play tennis.	Tôi chơi môn quần vợt.
I wear boxers.	Tôi mặc quần đùi
I'll kill you.	Tôi sẽ giết bạn.
I'll show you.	Tôi sẽ cho bạn xem.
I'll show you.	Tôi sẽ cho bạn thấy.
I'm in charge.	Tôi đang phụ trách
Is Tom around?	Tom có ở đó không?
Is Tom famous?	Tom có nổi tiếng không vậy?
Isn't it true?	Không đúng hả?
Isn't it true?	Điều đó không đúng ư?
It gets worse.	Tình hình trở nên xấu đi.
It gets worse.	Nó trở nên tệ hơn.
It is raining.	Trời đang mưa.
It works well.	Cái đó dùng tốt lắm.
It works well.	Dùng được lắm.
It works well.	Rất hiệu quả.
It's 2:30 now.	Bây giờ là hai giờ rưỡi.
It's 2:30 now.	Bây giờ là 2 giờ rưỡi.
It's 2:30 now.	Bây giờ là 2 rưỡi.
It's a weapon.	Đó là một vũ khí.
It's too easy.	Nó dễ như ăn bánh vậy.
It's very big.	To quá.
Just enjoy it.	Hãy hưởng thụ đi.
Just stay put.	Ở yên đó.
Keep in touch!	Hãy giữ liên lạc nhé.
Keep in touch!	Giữ liên lạc nhé.
Keep in touch.	Hãy giữ liên lạc nhé.
Keep in touch.	Giữ liên lạc nhé.
Leave it here.	Hãy để nó ở đây.
Let him do it.	Để anh ấy làm đi.
Let him do it.	Để nó làm đi.
Let me finish.	Để tui làm xong đã.
Let me finish.	Để tôi hoàn tất.
Let's go home.	Chúng ta về nhà thôi.
Let's go home.	Chúng ta về nhà thôi nào.
May I ask why?	Tôi có thể hỏi tại sao không?
May I go home?	Con về nhà được không?
May I go home?	Tôi có thể về nhà không?
My knee hurts.	Tôi đau đầu gối quá.
Oh, I'm sorry.	Ờ, xin lỗi nghe.
She's my type.	Cô ấy là mẫu người của tôi.
Suit yourself.	Bạn thích làm gì thì làm.
Suit yourself.	Thích làm gì thì làm.
Sweep my room.	Hãy quét phòng tôi.
Sweep my room.	Quét phòng tôi đi.
Take me there.	Hãy đưa tôi đến đó.
Take me there.	Hãy đưa tôi tới nơi đó.
That's a wolf.	Con sói đó.
They all left.	Tất cả họ đều đã rời đi.
They're drunk.	Họ đang say rượu.
They're drunk.	Họ đang say.
This is a pun.	Đó là một cách chơi chữ.
Time is money.	Thời gian là vàng.
Tom bought it.	Tom đã mua nó.
Tom bought it.	Tom đã mua thứ đó.
Tom bought it.	Tom đã mua cái đó.
Tom is vulgar.	Tom là một người tục tĩu.
Tom was happy.	Tom rất vui.
Tom won again.	Tom đã lại thắng một lần nữa.
We want a car.	Chúng tôi muốn một chiếc xe.
We'll hide it.	Chúng tôi sẽ giấu nó.
We're enemies.	Chúng ta là kẻ thù với nhau.
We're too old.	Chúng tôi đã quá già.
We're too old.	Chúng ta đã quá già.
Where are you?	Bạn đang ở đâu?
Who says that?	Ai nói thế?
You can do it.	bạn có thể làm được
You know this.	Bạn biết điều này.
You look pale.	Bạn trông tái nhợt.
You may enter.	Bạn có thể vào.
You're joking!	Đang đùa đấy à!
After you, Tom.	Mời Tom đi trước.
Are you hungry?	Bạn có đói bụng không?
Did Tom object?	Tom có phản đối không?
Do as you like.	Bạn thích làm gì thì làm.
Do as you like.	Thích làm gì thì làm.
Do as you like.	Bạn thích làm gì thì làm đi!
Do you miss me?	Bạn có nhớ tôi không?
Do you miss me?	Bạn nhớ tôi không?
Do you miss me?	Em nhớ anh không?
Do you miss me?	Anh nhớ em không?
Don't sweat it.	Đừng làm ướt nó.
Even Tom cried.	Cả Tom cũng khóc.
French is hard.	Tiếng Pháp khó quá.
French is hard.	Tiếng Pháp khó thật đấy.
Go take a walk.	Hãy đi dạo một chút đi.
Go take a walk.	Bạn đi dạo một tí đi.
He lives alone.	Anh ấy sống một mình.
Here is my key.	Chìa khóa của tôi đây.
I am a shy boy.	Tôi là một thằng nhóc hay mắc cỡ.
I bike to work.	Tôi đi làm bằng xe đạp.
I didn't drive.	Tôi không lái.
I don't get it.	Tôi không hiểu.
I don't get it.	Tôi không lấy được nó.
I don't get it.	Tôi không có nó.
I got divorced.	Tôi đã ly hôn.
I got divorced.	Tôi đã li hôn.
I hate lawyers.	Tôi ghét luật sư.
I hate my life.	Tôi ghét cuộc đời mình.
I hate my life.	Tôi ghét đời mình.
I hate my life.	Tôi ghét đời tôi.
I have a dream.	Tôi có ước mơ.
I have to hide.	Tôi phải trốn.
I kept running.	Tôi đã tiếp tục chạy.
I like history.	Tôi thích lịch sử.
I like history.	Tôi thích môn lịch sử.
I need to rest.	Tôi cần phải nghỉ ngơi.
I owe him $100.	Tao nợ nó 100 đô la.
I want a knife.	Tôi muốn một con dao.
I want to stay.	Tớ muốn ở lại.
I wear a watch.	Tôi đeo đồng hồ
I'd rather not.	Tôi thà không.
I'll stay here.	Tôi sẽ ở lại đây.
I'll wait here.	Tôi sẽ đợi ở đây.
I'll wait here.	Tôi đợi ở đây nhé.
I'll wait here.	Tôi sẽ đợi ở đây nhé.
I'll wait here.	Tôi sẽ chờ ở đây.
I'll wait here.	Tôi sẽ chờ ở đây nhé.
I'm an atheist.	Tôi là một người vô thần.
I'm free today.	Hôm nay tôi rảnh.
I'm free today.	Tôi rảnh hôm nay.
I'm quite well.	Tôi khá ổn.
It's up to you.	Tùy bạn.
Leave me alone!	Để tôi một mình.
Leave me alone!	Mặc kệ tôi đi!
Let me come in.	Hãy cho tôi vào với.
Let us go home.	Chúng ta về nhà thôi.
Let us go home.	Chúng ta về nhà thôi nào.
May I kiss you?	Tôi hôn bạn được chứ?
May I kiss you?	Tôi hôn bạn được không?
May I sit here?	Tôi có thể ngồi đây được không?
Men are idiots.	Đàn ông ai cũng ngu.
My name is Tom.	Tên tôi là Tom.
Play us a tune.	Chơi một giai điệu cho chúng tôi đi.
She liked that.	Cô ấy thích nó.
She liked that.	Cô ấy thích điều đó.
She plays Bach.	Cô ấy chơi nhạc Bach.
Should I reply?	Tôi có nên trả lời không?
Should I reply?	Tao có nên trả lời không?
Tell the truth.	Nói thật đi.
Tell the truth.	Hãy nói thật đi.
Tell the truth.	Hãy nói sự thật đi.
Their eyes met.	Ánh mắt họ chạm nhau.
They have come.	Họ đã đến.
This is on you.	Cái này tuỳ vào bạn.
Tom can't stay.	Tom không thể ở lại.
Tom can't stay.	Tom không ở lại được.
Tom isn't ugly.	Tom không xấu xí.
Tom isn't ugly.	Tom không xấu.
Why do you ask?	tại sao bạn hỏi
You lied to us.	Bạn đã nói dối chúng tôi.
You were wrong.	Bạn đã sai.
Are we finished?	Chúng ta đã xong chưa?
Are you injured?	Bạn có bị thương không?
Are you injured?	Bạn có bị thương chỗ nào không?
Are you thirsty?	Bạn có khát nước không?
Call me anytime.	Hãy gọi tôi bất cứ lúc nào.
Congratulations!	Xin chúc mừng!
Congratulations!	Chúc mừng!
Congratulations!	Chúc mừng
Did you miss me?	Có nhớ tôi không?
Do you watch TV?	Bạn có xem TV không?
Don't come here.	Đừng đến đây.
Don't lie to me.	Đừng nói dối tôi.
Don't look down.	Đừng nhìn xuống.
Don't stop here.	Đừng dừng lại ở đây.
Everyone waited.	Mọi người đã đợi.
Everyone waited.	Mọi người đã chờ đợi.
Everyone waited.	Tất cả mọi người đã chờ đợi.
Everyone waited.	Tất cả mọi người đều đã chờ đợi.
Everyone waited.	Tất cả mọi người đều đã đợi.
Give that to me.	Đưa nó cho tôi.
Go to sleep now.	Đi ngủ đi.
He came running.	Anh ấy đã chạy.
He had no money.	Anh ấy không có tiền.
He has a camera.	Nó có một máy ảnh.
He has a camera.	Nó có một máy ghi hình.
He has a camera.	Anh ấy có một máy ảnh.
He has a camera.	Anh ấy có một chiếc máy ảnh.
He has a camera.	Ông ấy có một chiếc máy ảnh.
He has ten cows.	Anh ấy đang nuôi mười con bò.
He lost his job.	Anh ấy đã thất nghiệp.
He lost his job.	Anh ấy đã trở nên thất nghiệp.
He mentioned it.	Anh ấy đã đề cập đến nó.
He was very fun.	Anh ấy rất vui.
How old are you?	Bạn bao nhiêu tuổi?
How old are you?	Mày bao nhiêu tuổi?
I ache all over.	Tôi bị đau cả người.
I also did that.	Tôi cũng đã làm điều đó.
I could've died.	Tôi có thể đã chết.
I cycle to work.	Tôi đi làm bằng xe đạp.
I hate shopping.	Tôi ghét đi mua sắm.
I have bad news.	Tôi có tin xấu.
I have the list.	Tôi có danh sách.
I have two cats.	Tôi có hai con mèo.
I like to laugh.	Tôi thích cười.
I slept all day.	Tôi đã ngủ cả ngày.
I was kidnapped.	Tớ từng bị bắt cóc.
I will miss you.	Anh sẽ nhớ em.
I will miss you.	Tôi sẽ nhớ bạn.
I will miss you.	tao sẽ nhớ mày.
I will miss you.	con sẽ nhớ mẹ lắm.
I'll buy a Ford.	Tôi định mua một chiếc xe ô tô Ford.
I'll buy a Ford.	Tôi định sẽ mua một chiếc xe hơi Ford.
I'm almost done.	Tôi sắp xong rồi.
I'm getting hot.	Tôi đang nóng.
I'm getting hot.	Tôi đang bị nóng.
I'm very afraid.	Tôi rất sợ.
I'm very choosy.	Tôi khá là kén chọn.
I'm very choosy.	Tôi là một người rất kén chọn.
I'm watching TV.	Tôi đang xem ti vi.
I'm watching TV.	Tôi đang coi ti vi.
I'm watching TV.	Tôi đang xem vô tuyến.
Is anybody home?	Có ai ở nhà không?
Is anybody home?	Có ai ở nhà không ạ?
Is anyone there?	Có ai ở đó không?
Is this too big?	Cái này có to quá không?
Is today payday?	Hôm nay là ngày phát lương à?
Is today payday?	Hôm nay là ngày phát lương có đúng không?
It'll rain soon.	Có lẽ là trời sắp mưa.
It'll rain soon.	Chắc có lẽ trời sắp mưa rồi.
It's all I need.	Đó là tất cả những gì mà tôi cần.
It's two pounds.	cái này hai pound.
It's your party.	Nó là buổi tiệc của bạn.
Keep your seats.	Giữ ghế của các bạn.
Let's go by car.	Đi bằng ôtô nhé.
Let's go inside.	Chúng ta hãy vào trong nào.
Let's stop here.	Hôm nay chúng ta kết thúc ở đây.
Life isn't easy.	Cuộc sống không dễ dàng gì.
Life's not fair.	Cuộc đời không công bằng.
Merry Christmas!	Chúc mừng giáng sinh!
Natto is sticky.	Natto ăn có cảm giác dinh dính.
She is too weak.	Nó yếu quá.
She is too weak.	Cô ấy quá yếu.
She is too weak.	Bà ấy yếu quá.
That is his car.	Đó là xe của anh ta.
There's so much.	Thế là quá nhiều.
They'll help us.	Họ sẽ giúp bọn mình
They're trapped.	Họ đang bị mắc kẹt.
This car is his.	Chiếc xe này là của ổng.
This car is his.	Chiếc xe này là của ông ta.
This car is his.	Chiếc xe này là của ông ấy.
This car is his.	Chiếc xe này là của hắn.
This car is his.	Chiếc xe này là của anh ấy.
This is my room.	Đây là phòng của tôi.
This is my wine.	Đây là rượu vang của tôi.
Those are Tom's.	Mấy thứ đó của Tom.
Tom followed me.	Tom đã đi theo tôi.
Tom is a writer.	Tom là nhà văn.
Tom is too late.	Tom quá trễ rồi.
Tom is your age.	Tom cũng bằng tuổi cậu.
Tom isn't naive.	Tom không ngây thơ.
Tom made a deal.	Tom đã đạt được một thỏa thuận.
Tom needs shoes.	Tom cần giày.
Tom trusts Mary.	Tom tin tưởng Mary.
Tom turned pale.	Mặt Tom tái mét lại.
Tom was adopted.	Tom đã được nhận nuôi.
Tom was excited.	Tom đã phấn khích.
Tom was in pain.	Tôm bị đau.
Tom was missing.	Thiếu Tom.
Tom was my boss.	Tom từng là sếp của tôi.
Tom was stunned.	Tom đã bị choáng.
Tom was unlucky.	Tom đã không may mắn.
Wasn't it awful?	Không phải nó kinh khủng lắm ư?
Watch carefully.	Hãy nhìn thật kỹ.
We are teachers.	chúng tôi là giáo viên.
We came to help.	Chúng tôi đến để giúp.
We met a writer.	Chúng tôi đã gặp một ông nhà văn.
We walked a lot.	Chúng tôi đã đi bộ rất nhiều.
Where's the key?	Cái chìa khóa ở đâu?
Who did you see?	Bạn đã gặp ai vậy?
Who did you see?	Bạn đã gặp ai thế?
Why is she here?	Sao cô ta lại ở đây chứ?
Why is she here?	Tại sao cô ấy lại ở đây vậy?
You look stupid.	Bạn nhìn ngốc quá.
You'll get lost.	Bạn sẽ bị lạc đấy.
You'll like Tom.	Mày sẽ thích Tom.
You're a nobody.	Bạn chẳng là ai cả.
Are they serious?	Họ có nghiêm túc không?
At last, he came.	Cuối cùng thì anh ấy đã tới.
At last, he came.	Cuối cùng thì ông ấy cũng đã đến.
Call me sometime.	Lúc nào điện cho tôi nhé.
Can you help Tom?	Bạn có thể giúp Tom không?
Can you see them?	Anh có trông thấy bọn họ không?
Did Tom call you?	Tom đã gọi cho cậu à?
Do what you like.	Bạn thích làm gì thì làm.
Do what you like.	Thích làm gì thì làm.
Do what you want.	Bạn thích làm gì thì làm.
Do what you want.	Thích làm gì thì làm.
Do you live here?	Bạn có sống ở đây không?
Does she love me?	Cô ấy có yêu tôi không?
Does she love me?	Cô ấy yêu tôi phải không?
Don't be so glum.	Đừng có rầu rĩ quá như thế.
Don't exaggerate.	Đừng làm quá lên.
Don't exaggerate.	Đừng có mà làm quá lên.
Don't touch this.	Đừng sờ vào cái này.
Everybody waited.	Mọi người đã đợi.
Everybody waited.	Mọi người đã chờ đợi.
Everybody waited.	Tất cả mọi người đã chờ đợi.
Everybody waited.	Tất cả mọi người đều đã chờ đợi.
Everybody waited.	Tất cả mọi người đều đã đợi.
Have a safe trip.	Thượng lộ bình an.
Have a safe trip.	Có một chuyến đi an toàn nhé.
He broke the law.	Anh ấy đã vi phạm pháp luật.
He can swim fast.	Anh ta có thể bơi nhanh.
He hates carrots.	Nó ghét cà rốt.
He hates carrots.	Ông ta ghét cà rốt.
He hates carrots.	Hắn ghét cà rốt.
He's always busy.	Anh ta luôn bận rộn.
Help me to do it.	Hãy giúp tôi việc đó.
Help me to do it.	Hãy giúp tôi làm điều đó.
Hmm, what's this?	Hừm, cái gì đây?
Hold that for me.	Cầm nó hộ mình.
Hold that for me.	Giữ nó cho mình.
How tall you are!	Bạn cao thiệt!
How's work going?	Công việc của bạn như thế nào?
How's work going?	Công việc của mày dư lào?
I didn't like it.	tôi không thích nó
I don't like you.	Tôi không thích anh đâu.
I feel just fine.	Tôi cảm thấy bình thường.
I feel very cold.	Tôi cảm thấy rất lạnh.
I got up at 6:30.	Tôi dậy lúc 6 rưỡi.
I got up at 6:30.	Tôi đã dậy lúc 6 giờ 30.
I hate chemistry.	Tôi ghét hóa học.
I have some time.	Có có một ít thời gian.
I have two books.	Tôi có 2 quyển sách.
I have two books.	Tao có 2 quyển sách.
I have two books.	Tôi có hai cuốn sách.
I like pop music.	Tôi thích nhạc pop.
I like pop music.	Tôi thích nghe nhạc pop.
I like to travel.	Tôi thích đi du lịch.
I love astronomy.	Tôi yêu thích thiên văn học.
I love egg yolks.	Tôi thích lòng đỏ trứng.
I love this park.	Tôi yêu công viên này.
I love this park.	Tôi thích công viên này.
I need more time.	Tôi cần thêm thì giờ.
I planted a tree.	Tôi đã trồng một cái cây.
I think Tom died.	Tôi nghĩ Tom đã chết.
I told the truth.	Tôi đã nói ra sự thật.
I walk to school.	Tôi đi bộ đến trường.
I wasn't worried.	Tôi đã thôi lo nghĩ.
I wasn't worried.	Tôi đã không lo lắng.
I will shoot him.	Tôi sẽ bắn nó.
I will shoot him.	Tôi sẽ bắn hắn.
I will shoot him.	Tôi sẽ bắn anh ta.
I won't be going.	Tôi sẽ không đi.
I won't help you.	Tôi không giúp bạn đâu.
I wrote the book.	Tôi đã viết cuốn sách.
I'm a journalist.	Tôi là nhà báo.
I'm an insomniac.	Tôi hay bị mất ngủ.
I'm at the hotel.	Bây giờ tôi đang ở khách sạn.
I'm by your side.	Tôi ủng hộ bạn.
I'm eating fruit.	Tôi đang ăn hoa quả.
I'm going to run.	Tớ chuẩn bị chạy.
I'm going to try.	Tôi sẽ thử.
I'm going to try.	Tôi sẽ thử xem sao.
I'm hard working.	Tôi là một người chăm chỉ.
I'm in pain here.	Tôi bị đau ở chỗ này.
I'm not a doctor.	Tôi không phải là bác sĩ.
I'm not like you.	Tôi không giống bạn!
I'm not like you.	Tao không giống mày!
I'm not like you.	Tớ không giống cậu.
I'm really sorry.	Tôi thật sự rất xin lỗi.
I'm really sorry.	Tôi vô cùng xin lỗi.
Is Tom all right?	Tom ổn chứ?
Is Tom still mad?	Tom vẫn còn cáu à?
Is that the plan?	Kế hoạch đấy à?
Is your dog mean?	Chó nhà bạn có dữ không?
Is your dog mean?	Chó của bạn có hung dữ không?
It might explode.	Nó có thể nổ.
It's kind of hot.	Nó khá nóng đấy.
Keep the dog out.	Đừng cho chó vào trong.
Keep the dog out.	Đừng cho chó vào bên trong.
Keep the dog out.	Không được cho chó vào bên trong.
Let them come in.	Để họ vào.
Let's have a try.	Thử xem nào.
Let's keep going.	Chúng ta đi tiếp thôi nào.
Let's keep going.	Chúng ta tiếp tục thôi nào.
My eyes are sore.	Mắt tôi đang bị đau.
My place is here.	Chỗ của tôi ở đây.
My place is here.	Chỗ của tao ở đây.
Parrots can sing.	Những con vẹt hát được.
People are dying.	Người người đang chết dần.
Please don't cry.	Làm ơn đừng khóc.
Put the box down.	Đặt cái hộp xuống.
She seems OK now.	Hiện tại nó có vẻ ổn.
She seems OK now.	Hiện tại cô ta có vẻ ổn.
She seems OK now.	Hiện tại cô ấy có vẻ ổn.
She seems OK now.	Hiện tại chị ấy có vẻ ổn.
She seems OK now.	Hiện tại bà ấy có vẻ ổn.
Take Tom outside.	Hãy đưa Tom ra ngoài đi.
Take Tom outside.	Đưa Tom ra ngoài đi.
The battery died.	Pin chết.
The dogs are wet.	Lũ chó bị ướt sũng.
The grass is wet.	Cỏ ướt đấy.
There's no limit.	Không có giới hạn nào cả.
They all love me.	Họ đều yêu tôi.
They arrested me.	Họ bắt tôi.
This doesn't fit.	Cái này không vừa.
This is gasoline.	Đây là xăng.
This will be fun.	Sẽ vui đây.
Tom bounced back.	Tom đã khỏe lại.
Tom is surviving.	Tom đang sống sót.
Tom ought to win.	Tom chắc chắn sẽ thắng.
Tom was executed.	Tom đã bị tử hình.
Tom's downstairs.	Tom đang ở tầng dưới.
Tom's downstairs.	Tom đang ở dưới nhà.
Try another door.	Hãy thử một cánh cửa khác.
We can do better.	Chúng ta có thể làm tốt hơn.
We can do better.	Chúng tôi có thể làm tốt hơn.
We can't give up.	Chúng ta không thể bỏ cuộc.
We can't give up.	Chúng ta không thể từ bỏ.
We can't give up.	Chúng tôi không thể bỏ cuộc.
We have no water.	Chúng tôi không có nước.
We have no water.	Chúng ta không có nước.
We used to fight.	Chúng tôi từng đánh nhau.
We used to fight.	Chúng tôi từng đối đầu nhau.
We used to fight.	Chúng tôi từng cãi nhau.
We're doing well.	Chúng ta đang làm rất tốt.
What do you want?	Bạn muốn gì?
What have I done?	Mình đã làm gì chứ?
What rotten luck!	Thật là xui xẻo!
What rotten luck!	Xui quá!
What rotten luck!	Thật là xúi quẩy!
What's your name?	Tên bạn là gì?
Where can I park?	Đậu xe ở đâu vậy?
Where is my comb?	Lược của tôi đâu rồi?
Where is the dog?	Chó đâu rồi?
Where is the dog?	Con chó đâu rồi?
Where is the dog?	Chó mô rồi?
Where's the food?	Đồ ăn đâu rồi?
Where's the food?	Đồ ăn đâu?
Where's the food?	Đồ ăn ở đâu?
Where's the food?	Thức ăn ở đâu?
Where's your dog?	Con chó của cậu đâu rồi?
Who did you meet?	Bạn đã gặp ai vậy?
Who did you meet?	Bạn đã gặp ai thế?
Whose turn is it?	Đến lượt ai đây?
Whose turn is it?	Bây giờ đến lượt ai?
Winter is coming.	Mùa đông đang đến.
Winter is coming.	Mùa đông đang tới.
Words failed her.	Cô ấy đã không nói nên lời.
Write with a pen.	Anh hãy viết bằng bút mực.
You made Tom cry.	Tôi khiến Tom khóc.
You'll regret it.	Bạn sẽ hối hận về điều đó.
You're very kind.	Bạn rất tốt bụng.
A mule kicked Tom.	Một con la đã đá vào Tom.
A storm is coming.	Một cơn bão sắp đến.
A storm is coming.	Trời có vẻ sắp bão rồi.
Am I under arrest?	Tôi bị bắt à?
Are you a vampire?	Bạn có phải là ma cà rồng không?
Are you a vampire?	Bạn có phải là ma cà rồng hay không?
Are you all right?	Bạn có sao không?
