year,title,genre
1915,The Bluffers,unknown
1915,The Captive,historical
1915,Carmen,adventure
1915,The Champion,comedy short
1915,The Cheat,drama
1915,Chimmie Fadden Out West,"comedy, western"
1915,Enoch Arden,drama
1915,A Fool There Was,drama
1915,Four Feathers,drama
1915,Fresh from the Farm,comedy
1915,Giving Them Fits,comedy
1915,Inspiration,unknown
1915,The Italian,drama
1915,"Love, Loot and Crash",comedy
1915,Pool Sharks,comedy short
1915,The Raven,biography
1915,The Soul of Broadway,drama
1915,The Toast of Death,drama
1915,The Tramp,comedy short
1915,The Warrens of Virginia,drama
1915,Work,comedy
1916,"20,000 Leagues Under the Sea",action adventure
1916,The Abandonment,drama
1916,The Aryan,western drama
1916,The Bondman,drama
1916,Civilization,drama
1916,A Daughter of the Gods,drama
1916,Divorce and the Daughter,drama
1916,Fatty and Mabel Adrift,short comedy
1916,The Fireman,short comedy
1916,Hell's Hinges,unknown
1916,Hoodoo Ann,comedy–drama
1916,Hulda from Holland,drama
1916,Joan the Woman,historical
1916,Lights of New York,drama
1916,Lonesome Luke Leans to the Literary,short comedy
1916,Madame X,drama
1916,The Man Who Would Not Die,unknown
1916,Manhattan Madness,comedy
1916,One A.M.,short comedy
1916,The Other Side of the Door,romantic drama
1916,Sherlock Holmes,mystery
1916,The Soul's Cycle,drama
1916,The Stepping Stone,drama
1916,Under Two Flags,drama
1916,Where Are My Children?,crime drama
1916,Youth's Endearing Charm,drama
1917,All Aboard,comedy
1917,The Bad Boy,crime drama
1917,Bucking Broadway,western
1917,The Butcher Boy,comedy
1917,Camille,drama
1917,Cheyenne's Pal,western
1917,Cleopatra,historical
1917,The Devil-Stone,romance
1917,Easy Street,comedy
1917,Enlighten Thy Daughter,sexual hygiene/exploitation film
1917,Golden Rule Kate,western
1917,Great Expectations,drama
1917,The Gulf Between,comedy drama
1917,Her Right to Live,drama
1917,His Wedding Night,comedy
1917,The Immigrant,comedy
1917,"In Again, Out Again",comedy
1917,The Jury of Fate,drama
1917,The Little American,war drama
1917,The Little Princess,drama
1917,The Man Without a Country,drama
1917,The Mate of the Sally Ann,comedy drama
1917,A Modern Musketeer,adventure
1917,Oh Doctor!,comedy
1917,"Peggy, the Will O' the Wisp",drama
1917,The Poor Little Rich Girl,drama
1917,Reaching for the Moon,adventure
1917,Rebecca of Sunnybrook Farm,drama
1917,A Reckless Romeo,comedy
1917,The Rough House,comedy
1917,Souls in Pawn,spy
1917,Straight Shooting,western
1917,A Strange Transgressor,drama
1917,Wild and Woolly,unknown
1917,The Woman God Forgot,romance
1918,All Woman,comedy
1918,Amarilly of Clothes-Line Alley,drama
1918,Are Crooks Dishonest?,comedy
1918,Arizona,drama
1918,Beauty and the Rogue,crime drama
1918,"Believe Me, Xantippe",comedy
1918,The Bell Boy,comedy short
1918,The Blue Bird,fantasy
1918,Bound in Morocco,unknown
1918,The Bride's Awakening,drama
1918,Cecilia of the Pink Roses,drama
1918,The Cook,comedy
1918,The Craving,drama
1918,The Deciding Kiss,comedy
1918,The Eyes of Julia Deep,comedy drama
1918,The Eyes of Mystery,mystery
1918,Face Value,drama
1918,The Forbidden City,drama
1918,Friend Husband,comedy drama
1918,Fuss and Feathers,comedy
1918,The Ghost of Slumber Mountain,fantasy
1918,The Goddess of Lost Lake,drama
1918,The Great Love,war drama
1918,The Greatest Thing in Life,war drama
1918,He Comes Up Smiling,adventure
1918,Headin' South,romantic comedy
1918,The Heart of Humanity,propaganda
1918,Hearts of the World,ww1 propaganda
1918,Hell Bent,western
1918,The House of Mirth,drama
1918,Huck and Tom,comedy drama
1918,The Legion of Death,drama
1918,Men Who Have Made Love to Me,biopic
1918,Mickey,comedy
1918,Moonshine,comedy
1918,Mr. Fix-It,romantic comedy
1918,Nine-Tenths of the Law,drama
1918,The Non-Stop Kid,comedy
1918,Old Wives for New,drama
1918,Out of the Inkwell,animated series
1918,Out West,comedy
1918,Powers That Prey,comedy drama
1918,Revenge,western
1918,The Romance of Tarzan,adventure
1918,Salomé,drama
1918,The Scarlet Drop,western
1918,Set Free,drama
1918,Shoulder Arms,comedy
1918,Social Briars,comedy drama
1918,The Squaw Man,western
1918,Stella Maris,drama
1918,Tarzan of the Apes,adventure
1918,Till I Come Back to You,drama
1918,Treasure Island,adventure
1918,Under the Yoke,drama
1918,Under the Greenwood Tree,unknown
1918,The Venus Model,romantic comedy
1918,We Can't Have Everything,drama
1918,When Do We Eat?,comedy
1918,Which Woman?,drama
1918,The Whispering Chorus,drama
1919,Anne of Green Gables,comedy drama
1919,Ask Father,comedy
1919,Back Stage,short
1919,Better Times,drama
1919,Blind Husbands,drama romance
1919,Bolshevism on Trial,drama
1919,Broken Blossoms,drama
1919,Bumping Into Broadway,comedy
1919,Daddy-Long-Legs,drama
1919,Dangerous Hours,drama
1919,A Day's Pleasure,short
1919,The Delicious Little Devil,comedy drama
1919,Don't Change Your Husband,comedy
1919,The Echo of Youth,drama
1919,The Exquisite Thief,drama
1919,The False Faces,drama
1919,"For Better, For Worse",drama
1919,From Hand to Mouth,comedy
1919,The Girl Who Stayed at Home,drama
1919,The Grim Game,drama
1919,A Gun Fightin' Gentleman,western
1919,Happy Though Married,comedy
1919,The Haunted Bedroom,drama
1919,Hawthorne of the U.S.A.,comedy
1919,Heart o' the Hills,drama
1919,"His Majesty, the American",comedy
1919,The Homesteader,unknown
1919,The Law of Men,drama
1919,Love's Prisoner,crime drama
1919,Male and Female,adventure
1919,A Man's Fight,drama
1919,The Miracle Man,drama
1919,The Miracle of Love,drama
1919,My Lady's Garter,mystery
1919,Nine-Tenths of the Law,drama
1919,Pistols for Breakfast,comedy
1919,The Probation Wife,comedy
1919,Ravished Armenia,drama
1919,The Roaring Road,romance
1919,A Rogue's Romance,crime drama
1919,A Romance of Happy Valley,drama
1919,Sahara,drama
1919,Scarlet Days,western
1919,A Society Exile,drama
1919,Soldiers of Fortune,adventure
1919,Sunnyside,comedy
1919,The Test of Honor,drama
1919,True Heart Susie,drama
1919,The Turn in the Road,drama
1919,The Unpainted Woman,drama
1919,The Virtuous Thief,drama
1919,What Every Woman Learns,drama
1919,When the Clouds Roll By,comedy
1919,The White Heather,drama
1919,The World and Its Woman,drama
1919,Yankee Doodle in Berlin,comedy
1919,You're Fired,comedy
1920,813,mystery
1920,Among Those Present,comedy short
1920,April Folly,drama
1920,Blind Youth,drama
1920,A Child for Sale,melodrama
1920,Convict 13,comedy
1920,The Copperhead,period drama
1920,The Devil's Pass Key,drama
1920,A Double-Dyed Deceiver,crime drama
1920,Dr. Jekyll and Mr. Hyde,horror
1920,The False Road,drama
1920,The Family Honor,drama
1920,The Garage,comedy short
1920,The Girl in Number 29,drama
1920,Hairpins,drama
1920,Haunted Spooks,comedy
1920,Her Husband's Friend,drama
1920,High and Dizzy,comedy
1920,Huckleberry Finn,adventure
1920,The Idol Dancer,drama
1920,In the Heart of a Fool,drama
1920,The Jack-Knife Man,drama
1920,Judy of Rogue's Harbor,drama
1920,Lady Rose's Daughter,drama
1920,The Last of the Mohicans,adventure
1920,Love,romance
1920,The Love Flower,drama
1920,Madame X,drama
1920,The Man Who Lost Himself,comedy drama
1920,The Mark of Zorro,swashbuckler
1920,Neighbors,comedy
1920,Now or Never,comedy
1920,"Number, Please?",comedy
1920,Old Lady 31,comedy drama
1920,One Week,comedy
1920,The Penalty,crime
1920,Pollyanna,drama
1920,Remodeling Her Husband,comedy
1920,Romance,romance
1920,The Round-Up,comedy
1920,The Saphead,comedy
1920,The Scarecrow,comedy short
1920,Sex,drama
1920,Shore Acres,drama
1920,Silk Hosiery,comedy
1920,Silk Husbands and Calico Wives,drama
1920,The Skywayman,unknown
1920,The Slim Princess,comedy
1920,Something to Think About,drama
1920,A Splendid Hazard,drama
1920,Suds,comedy
1920,Treasure Island,adventure
1920,The Virgin of Stamboul,drama
1920,Way Down East,drama
1920,Why Change Your Wife?,comedy
1920,Within Our Gates,drama
1920,The Woman in the Suitcase,drama
1921,The Ace of Hearts,crime drama
1921,The Adventures of Tarzan,unknown
1921,The Affairs of Anatol,drama
1921,After the Show,unknown
1921,Among Those Present,comedy
1921,The Big Punch,western
1921,The Blot,melodrama
1921,The Boat,comedy
1921,Brewster's Millions,comedy
1921,Camille,unknown
1921,The Conquering Power,romance drama
1921,Disraeli,biography
1921,Experience,drama
1921,Forbidden Fruit,drama
1921,Forever,romance
1921,The Four Horsemen of the Apocalypse,drama
1921,The Goat,comedy
1921,The Haunted House,comedy
1921,Heedless Moths,drama
1921,The High Sign,comedy short
1921,I Do,comedy
1921,The Idle Class,unknown
1921,Jim the Penman,crime drama
1921,The Kid,comedy drama
1921,Little Lord Fauntleroy,comedy drama
1921,The Lotus Eater,drama
1921,The Love Light,drama
1921,Love Never Dies,drama
1921,The Lucky Dog,comedy
1921,The Magic Cup,unknown
1921,Mama's Affair,romantic comedy
1921,Mother O' Mine,drama
1921,Never Weaken,comedy
1921,No Woman Knows,drama
1921,Now or Never,comedy
1921,The Nut,comedy
1921,The Offenders,unknown
1921,Orphans of the Storm,melodrama
1921,The Playhouse,comedy
1921,Red Courage,unknown
1921,Roads of Destiny,drama
1921,A Sailor-Made Man,comedy
1921,The Sea Lion,adventure
1921,Sentimental Tommy,unknown
1921,Seven Years Bad Luck,comedy
1921,The Sheik,"drama, adventure"
1921,Sheltered Daughters,comedy
1921,The Silver Lining,drama
1921,The Sky Pilot,drama
1921,Sure Fire,western
1921,Through the Back Door,unknown
1921,Tol'able David,drama
1921,Uncharted Seas,romance
1921,White and Unmarried,unknown
1921,Woman's Place,drama
1922,Beyond the Rocks,drama
1922,A Blind Bargain,horror
1922,Blood and Sand,drama
1922,Clarence,comedy drama
1922,Daydreams,comedy
1922,Dr. Jack,comedy
1922,Dusk to Dawn,drama
1922,The Electric House,comedy
1922,Fair Lady,drama
1922,Foolish Wives,drama
1922,The Frozen North,unknown
1922,Grandma's Boy,comedy
1922,Heroes of the Street,crime comedy
1922,The Loaded Door,western
1922,Manslaughter,drama
1922,Moran of the Lady Letty,adventure
1922,My Boy,unknown
1922,Nanook of the North,documentary
1922,Oliver Twist,drama
1922,The Paleface,comedy western
1922,Pay Day,comedy
1922,Peacock Alley,drama
1922,Peg o' My Heart,drama
1922,The Prisoner of Zenda,swashbuckler
1922,Ridin' Wild,western
1922,Robin Hood,swashbuckler
1922,Saturday Night,unknown
1922,Shadows,melodrama
1922,Tess of the Storm Country,unknown
1922,The Toll of the Sea,unknown
1922,Trifling Women,drama
1922,Up and at 'Em,romantic comedy
1922,When Knighthood Was in Flower,romance drama
1922,Wildness of Youth,drama
1922,The Woman He Married,drama
1922,The Young Rajah,adventure
1923,Ambrose Applejohn's Adventure,drama
1923,Ashes of Vengeance,drama
1923,The Balloonatic,comedy
1923,Black Oxen,drama
1923,The Call of the Canyon,western
1923,The Country Kid,comedy drama
1923,The Daring Years,melodrama
1923,The Extra Girl,comedy
1923,Gentle Julia,romance
1923,The Hunchback of Notre Dame,drama
1923,Merry-Go-Round,drama
1923,Our Hospitality,comedy
1923,The Pilgrim,comedy
1923,Safety Last!,comedy
1923,Scaramouche,adventure
1923,The Shock,drama
1923,The Shriek of Araby,comedy
1923,The Silent Command,drama
1923,Slippy McGee,drama
1923,Souls for Sale,drama
1923,The Ten Commandments,epic
1923,Three Ages,comedy
1923,The White Sister,drama
1923,Why Worry?,comedy
1923,A Woman of Paris,romance drama
1924,The Age of Innocence,drama
1924,America,historical
1924,The Arab,romance
1924,Beau Brummel,historical
1924,Captain January,unknown
1924,"Circe, the Enchantress",drama
1924,Dante's Inferno,fantasy drama
1924,The Enchanted Cottage,romance
1924,The Family Secret,drama
1924,Feet of Clay,drama
1924,Girl Shy,romantic comedy
1924,Greed,drama
1924,He Who Gets Slapped,drama
1924,Helen's Babies,comedy
1924,Her Night of Romance,romance
1924,His Hour,drama
1924,Hot Water,comedy
1924,The Iron Horse,western
1924,Isn't Life Wonderful,drama
1924,Janice Meredith,historical
1924,Listen Lester,comedy drama
1924,Little Robinson Crusoe,unknown
1924,Manhandled,comedy
1924,Monsieur Beaucaire,drama
1924,The Navigator,comedy
1924,One Night in Rome,romance
1924,Peter Pan,"fantasy, family"
1924,The Red Lily,drama
1924,Romola,drama
1924,The Sea Hawk,swashbuckler
1924,Secrets,drama
1924,"Sherlock, Jr.",comedy
1924,The Shooting of Dan McGrew,drama
1924,The Thief of Bagdad,swashbuckler
1924,Three Weeks,romance drama
1924,Wild Oranges,drama
1924,Wine of Youth,comedy drama
1924,The Yankee Consul,comedy
1925,Adventure,adventure
1925,Ben-Hur: A Tale of the Christ,epic
1925,The Big Parade,war
1925,Cheaper to Marry,drama
1925,The Circle,romance drama
1925,Cobra,drama
1925,Confessions of a Queen,drama
1925,Dangerous Innocence,romantic comedy
1925,The Dark Angel,drama
1925,"Don Q, Son of Zorro",swashbuckler
1925,The Eagle,historical
1925,Fifty-Fifty,drama
1925,The Freshman,comedy
1925,Go West,"comedy, western"
1925,The Gold Rush,"comedy, adventure"
1925,Hogan's Alley,comedy
1925,Kentucky Pride,drama
1925,The King on Main Street,romantic comedy
1925,A Kiss for Cinderella,fantasy
1925,The Lady,drama
1925,Lady Windermere's Fan,comedy
1925,Little Annie Rooney,drama
1925,The Lost World,"fantasy, adventure"
1925,The Lucky Devil,comedy drama
1925,The Lucky Horseshoe,western
1925,The Mad Whirl,drama
1925,The Man Who Found Himself,drama
1925,The Merry Widow,unknown
1925,The Midnight Girl,unknown
1925,The Mystic,thriller
1925,Old Clothes,drama
1925,Phantom of the Opera,horror
1925,The Plastic Age,dramatic comedy
1925,Pretty Ladies,comedy drama
1925,Proud Flesh,comedy drama
1925,The Rag Man,drama
1925,"Sally, Irene and Mary",romance
1925,Sally of the Sawdust,comedy
1925,The Salvation Hunters,drama
1925,Seven Chances,comedy
1925,Seven Sinners,crime comedy
1925,Smouldering Fires,drama
1925,Stage Struck,comedy
1925,The Teaser,romantic comedy/drama
1925,"Time, the Comedian",drama
1925,Too Many Kisses,comedy
1925,The Tower of Lies,drama
1925,The Trail Rider,western
1925,Tumbleweeds,western
1925,The Unholy Three,crime
1925,Wizard of Oz,fantasy
1925,Wolf Blood,horror
1926,Across the Pacific,adventure
1926,Bardelys the Magnificent,romantic drama
1926,The Bat,"mystery, thriller"
1926,Battling Butler,comedy
1926,Beau Geste,swashbuckler
1926,The Bells,crime thriller
1926,The Better 'Ole,comedy
1926,Beverly of Graustark,comedy
1926,The Black Pirate,swashbuckler
1926,The Blackbird,drama
1926,La Bohème,drama
1926,The Boy Friend,drama
1926,Broken Hearts of Hollywood,comedy drama
1926,Brown of Harvard,american football
1926,Cruise of the Jasper B,comedy
1926,Dance Madness,comedy
1926,Don Juan,adventure
1926,Ella Cinders,comedy
1926,The Exquisite Sinner,drama
1926,Fine Manners,comedy
1926,Flesh and the Devil,melodrama
1926,For Heaven's Sake,comedy
1926,The Gay Deceiver,comedy
1926,The General,comedy
1926,The Great Gatsby,drama
1926,The Great K & A Train Robbery,western
1926,Hands Up!,comedy
1926,High Steppers,drama
1926,The Joy Girl,comedy
1926,Kid Boots,comedy
1926,Kiki,romantic comedy
1926,A Kiss for Cinderella,"fantasy, romance"
1926,Looking for Trouble,western
1926,The Magician,horror
1926,Mantrap,romantic comedy
1926,Mare Nostrum,spy
1926,Miss Brewster's Millions,comedy
1926,The New Klondike,romantic comedy
1926,Old Ironsides,adventure
1926,Private Izzy Murphy,comedy
1926,The Sea Beast,adventure
1926,So This Is Paris,comedy
1926,So's Your Old Man,comedy
1926,The Sorrows of Satan,fantasy
1926,Sparrows,unknown
1926,The Strong Man,comedy
1926,The Temptress,drama
1926,Torrent,romance
1926,"Tramp, Tramp, Tramp",comedy
1926,What Price Glory?,war
1926,The Winning of Barbara Worth,western
1926,A Woman of the Sea,unknown
1927,Adam and Evil,comedy
1927,The Cat and the Canary,"comedy, horror, mystery"
1927,Chang: A Drama of the Wilderness,semi-staged documentary
1927,Chicago,comedy drama
1927,Children of Divorce,drama
1927,College,romantic comedy
1927,The College Hero,romantic comedy
1927,The Enemy,drama
1927,The Fair Co-Ed,comedy
1927,The First Auto,comedy drama
1927,For the Love of Mike,romance
1927,Foreign Devils,adventure
1927,The Garden of Allah,romance
1927,The Girl from Chicago,crime drama
1927,His First Flame,comedy
1927,Hula,romantic comedy
1927,Husband Hunters,romantic comedy
1927,It,romantic comedy
1927,The Jazz Singer,drama
1927,The Kid Brother,comedy
1927,The King of Kings,biblical drama
1927,Knockout Reilly,drama
1927,A Little Journey,comedy
1927,London After Midnight,thriller
1927,Long Pants,comedy
1927,The Love of Sunya,drama
1927,My Best Girl,romantic comedy
1927,The Red Mill,comedy
1927,Resurrection,drama
1927,The Road to Romance,drama
1927,Rookies,comedy
1927,The Scar of Shame,race film
1927,The Show,drama
1927,Spring Fever,romance
1927,The Student Prince in Old Heidelberg,romantic comedy
1927,Sunrise: A Song of Two Humans,melodrama
1927,Two Arabian Knights,comedy adventure
1927,Underworld,crime
1927,The Unknown,horror
1927,The Way of All Flesh,melodrama
1927,When a Man Loves,historical drama
1927,Why Girls Love Sailors,comedy
1927,Wings,war
1927,The Yankee Clipper,adventure
1928,4 Devils,drama
1928,Abie's Irish Rose,comedy
1928,Across to Singapore,"romance, drama"
1928,The Air Circus,drama
1928,Alias Jimmy Valentine,crime
1928,The Barker,drama
1928,The Battle of the Sexes,drama
1928,Beware of Bachelors,comedy
1928,The Cameraman,"comedy, romance"
1928,The Cardboard Lover,comedy
1928,The Cavalier,western
1928,The Circus,"comedy, adventure"
1928,The Crimson City,drama
1928,The Crowd,drama
1928,The Divine Woman,drama
1928,The Docks of New York,melodrama
1928,Don't Marry,comedy
1928,Doomsday,drama
1928,Dream of Love,historical drama
1928,Dressed to Kill,drama
1928,Drums of Love,romance
1928,Dry Martini,comedy
1928,Feel My Pulse,romantic comedy
1928,Forbidden Hours,drama
1928,Four Sons,drama
1928,Four Walls,drama
1928,Gang War,crime
1928,The Garden of Eden,drama
1928,The Gateway of the Moon,romantic comedy
1928,A Girl in Every Port,romantic comedy
1928,Glorious Betsy,drama
1928,The Godless Girl,drama
1928,Half a Bride,romance
1928,Hangman's House,"romance, drama"
1928,The Hawk's Nest,crime
1928,Heart Trouble,comedy
1928,A Lady of Chance,romance
1928,The Last Command,melodrama
1928,"Laugh, Clown, Laugh",melodrama
1928,The Law of the Range,western
1928,The Legion of the Condemned,war
1928,Lights of New York,"crime, drama"
1928,Lilac Time,war
1928,The Lion and the Mouse,drama
1928,Love Me and the World Is Mine,romance
1928,The Magnificent Flirt,comedy
1928,The Man Who Laughs,melodrama
1928,The Matinee Idol,romance
1928,The Mating Call,drama
1928,My Man,comedy
1928,The Mysterious Lady,"romance, drama"
1928,Naughty Baby,comedy
1928,Night Watch,drama
1928,Noah's Ark,drama
1928,On Trial,drama
1928,Our Dancing Daughters,melodrama
1928,The Patriot,historical
1928,The Red Dance,drama
1928,Red Hair,comedy
1928,Sadie Thompson,drama
1928,Say It with Sables,drama
1928,Sharp Shooters,comedy
1928,Show Girl,comedy
1928,Show People,comedy
1928,The Showdown,drama
1928,The Singing Fool,melodrama
1928,The Smart Set,comedy
1928,So This Is Love?,comedy
1928,Speedy,comedy
1928,"Steamboat Bill, Jr.",comedy
1928,Stop That Man!,comedy
1928,Street Angel,melodrama
1928,Submarine,drama
1928,Tenderloin,crime
1928,The Terror,mystery
1928,That Certain Thing,comedy
1928,Three Weekends,comedy drama
1928,The Viking,historical
1928,We Faw Down,comedy
1928,The Wedding March,melodrama
1928,West of Zanzibar,melodrama
1928,West Point,romance
1928,What a Night!,romantic comedy
1928,While the City Sleeps,crime drama
1928,White Shadows in the South Seas,"drama, adventure"
1928,Wife Savers,comedy
1928,The Wind,drama
1928,A Woman of Affairs,melodrama
1929,Acquitted,drama
1929,Alibi,crime
1929,Applause,musical
1929,The Argyle Case,mystery
1929,The Aviator,comedy
1929,Berth Marks,comedy
1929,Betrayal,drama
1929,Big Business,comedy
1929,Broadway,musical
1929,Broadway Babies,musical
1929,The Broadway Melody,musical comedy
1929,Bulldog Drummond,mystery
1929,The Canary Murder Case,mystery
1929,Captain Lash,adventure
1929,Careers,comedy
1929,The Case of Lena Smith,drama
1929,Children of the Ritz,drama
1929,Close Harmony,musical
1929,The Cocoanuts,musical comedy
1929,Coquette,drama
1929,The Cock-Eyed World,musical comedy
1929,Dance Hall,musical
1929,The Dance of Life,musical comedy
1929,Dangerous Curves,romantic comedy
1929,A Dangerous Woman,drama
1929,The Delightful Rogue,romantic comedy
1929,Desert Nights,drama
1929,The Desert Song,operetta
1929,Disraeli,drama
1929,The Divine Lady,historical
1929,The Donovan Affair,comedy mystery
1929,Drag,drama
1929,Dynamite,drama
1929,Eternal Love,historical drama
1929,Fancy Baggage,drama
1929,Fast Company,comedy
1929,Flight,adventure
1929,The Flying Fleet,romantic drama
1929,Footlights and Fools,musical comedy
1929,The Forward Pass,drama
1929,Fox Movietone Follies of 1929,musical
1929,The Gamblers,drama
1929,Glorifying the American Girl,musical
1929,Gold Diggers of Broadway,musical comedy
1929,The Great Divide,western
1929,The Great Gabbo,musical comedy
1929,Half Marriage,drama
1929,Hallelujah!,drama
1929,Happy Days,musical
1929,Hardboiled Rose,drama
1929,His Glorious Night,romance
1929,Honky Tonk,musical
1929,Jazz Heaven,comedy
1929,The Kiss,drama
1929,The Lady Lies,romantic comedy
1929,Lady of the Pavements,comedy
1929,The Last of Mrs. Cheyney,comedy drama
1929,The Last Warning,mystery
1929,The Letter,drama
1929,The Locked Door,drama
1929,The Love Parade,musical comedy
1929,Lucky Boy,musical
1929,Lucky Star,romantic drama
1929,Madame X,drama
1929,The Man I Love,drama
1929,Married in Hollywood,musical
1929,Masked Emotions,adventure
1929,Mexicali Rose,romance
1929,The Mysterious Dr. Fu Manchu,detective
1929,The Mysterious Island,fantasy
1929,New Year's Eve,drama
1929,New York Nights,crime
1929,Night Parade,drama
1929,One Hysterical Night,comedy
1929,On with the Show,musical comedy
1929,Our Modern Maidens,drama
1929,The Pagan,romance
1929,Paris,musical comedy
1929,Queen Kelly,drama
1929,Queen of the Night Clubs,musical
1929,Redskin,drama
1929,Rio Rita,musical comedy
1929,The River,drama
1929,Sally,musical comedy
1929,The Saturday Night Kid,romantic comedy
1929,Say It with Songs,musical
1929,Seven Faces,drama
1929,Seven Footprints to Satan,horror
1929,Show Boat,romance
1929,Side Street,crime drama
1929,The Single Standard,romance drama
1929,The Sky Hawk,war
1929,Smilin' Guns,western
1929,Smiling Irish Eyes,drama
1929,So Long Letty,musical comedy
1929,Spite Marriage,comedy
1929,The Squall,drama
1929,Stark Mad,adventure
1929,Street Girl,drama
1929,Sunny Side Up,musical comedy
1929,Syncopation,musical comedy
1929,Synthetic Sin,comedy
1929,Tanned Legs,musical comedy
1929,The Thirteenth Chair,mystery
1929,This Is Heaven,romance
1929,This Thing Called Love,romance musical
1929,Thunderbolt,crime
1929,Trent's Last Case,detective
1929,The Trespasser,drama
1929,Under the Southern Cross,drama
1929,The Vagabond Lover,musical comedy
1929,The Valiant,drama
1929,The Very Idea,comedy
1929,The Virginian,western
1929,Weary River,romantic drama
1929,Wedding Rings,drama
1929,Welcome Danger,comedy
1929,Where East is East,adventure
1929,Why Be Good?,comedy
1929,Wild Orchids,drama
1929,The Wolf Song,comedy
1929,Woman Trap,drama
1929,Words and Music,musical comedy
1929,The Younger Generation,drama
1930,Abraham Lincoln,drama
1930,Africa Speaks!,documentary
1930,Alias French Gertie,crime
1930,All Quiet on the Western Front,"drama, war"
1930,Animal Crackers,comedy
1930,Anna Christie,drama
1930,The Bat Whispers,"horror, comedy"
1930,Beau Bandit,western
1930,Behind the Make-Up,drama
1930,The Benson Murder Case,drama
1930,The Big House,drama
1930,The Big Pond,romantic comedy
1930,The Big Trail,western
1930,The Bishop Murder Case,mystery
1930,Born Reckless,"drama, crime"
1930,Borrowed Wives,comedy
1930,The Boudoir Diplomat,comedy
1930,Bride of the Regiment,musical
1930,Bright Lights,musical
1930,Call of the Flesh,musical
1930,The Case of Sergeant Grischa,drama
1930,Chasing Rainbows,musical
